"","PRCP","Year","Month","Day","rain","daynum","mP","sdP","detP","detP2"
"282",1.22,1967,1,26,2,26,1.194,0.307619895325384,0.026,1.491
"283",1.52,1967,1,27,2,27,1.71,0.703379596763268,-0.19,1.275
"284",0.75,1967,3,23,2,82,0.987142857142857,0.28877409196546,-0.237142857142857,1.22785714285714
"285",0.78,1967,5,9,2,129,0.745,0.0494974746830584,0.035,1.5
"286",0.88,1967,6,1,2,152,0.88,NA,0,1.465
"287",0.71,1967,6,21,2,172,0.71,NA,0,1.465
"288",1.38,1967,10,2,2,275,1.38,NA,0,1.465
"289",0.89,1967,10,3,2,276,0.925,0.0494974746830583,-0.035,1.43
"290",1.52,1967,10,27,2,300,1.17,0.495147885556859,0.35,1.815
"291",0.95,1967,11,29,2,333,0.99,0.332114438108312,-0.04,1.425
"292",0.9,1967,12,2,2,336,1.21333333333333,0.586608492786734,-0.313333333333333,1.15166666666667
"293",0.8,1967,12,3,2,337,1.75375,1.34503252748772,-0.95375,0.51125
"294",1.18,1967,12,4,2,338,1.40545454545455,0.824455743340583,-0.225454545454546,1.23954545454545
"295",1.34,1968,1,9,2,9,1.26363636363636,0.367376448000487,0.0763636363636364,1.54136363636364
"296",1.4,1968,1,14,2,14,1.14,0.419099563880046,0.26,1.725
"297",1.31,1968,1,16,2,16,1.004,0.284612797401038,0.306,1.771
"298",0.98,1968,1,31,2,31,1.134,0.253473645353691,-0.154,1.311
"299",0.95,1968,2,4,2,35,0.99,0.185652004208591,-0.04,1.425
"300",1.07,1968,2,19,2,50,1.2475,0.417881562168038,-0.1775,1.2875
"301",1.25,1968,2,21,2,52,1.0475,0.21285474591172,0.2025,1.6675
"302",1.04,1968,2,22,2,53,1.112,0.609155152649963,-0.0720000000000001,1.393
"303",1.01,1968,3,12,2,72,1.002,0.358008379790194,0.00800000000000001,1.473
"304",0.91,1968,3,25,2,85,1.0425,0.253820802929941,-0.1325,1.3325
"305",1.36,1968,8,16,2,229,1.28,0.183575597506858,0.0800000000000001,1.545
"306",0.86,1968,8,23,2,236,0.785,0.106066017177982,0.0750000000000001,1.54
"307",0.82,1968,8,24,2,237,0.82,NA,0,1.465
"308",0.81,1968,9,18,2,262,0.765,0.0636396103067893,0.045,1.51
"309",1.64,1968,10,11,2,285,1.0925,0.428125760339957,0.5475,2.0125
"310",0.79,1968,10,29,2,303,1.1725,0.675272431795388,-0.3825,1.0825
"311",1.36,1968,11,8,2,313,1.08833333333333,0.225248011459961,0.271666666666667,1.73666666666667
"312",2.89,1968,12,4,2,339,1.67888888888889,1.38599643257517,1.21111111111111,2.67611111111111
"313",1.64,1968,12,9,2,344,1.23555555555556,0.747380611052881,0.404444444444444,1.86944444444444
"314",1.72,1968,12,10,2,345,1.211,0.570739286656643,0.509,1.974
"315",0.89,1968,12,15,2,350,1.11285714285714,0.25753409390566,-0.222857142857143,1.24214285714286
"316",0.86,1968,12,16,2,351,1.055,0.322711724520286,-0.195,1.27
"317",1,1968,12,27,2,362,1.14166666666667,0.481131872554582,-0.141666666666667,1.32333333333333
"318",1.01,1969,1,7,2,7,1.30125,0.953316579106857,-0.29125,1.17375
"319",1.14,1969,1,9,2,9,1.26363636363636,0.367376448000487,-0.123636363636364,1.34136363636364
"320",2.21,1969,1,10,2,10,1.20571428571429,0.522224742154832,1.00428571428571,2.46928571428571
